iso_code;type;score
arz;sharedtask;0.896
eng;sharedtask;0.966
fin;sharedtask;0.861
fra;sharedtask;0.777
kat;sharedtask;0.847
deu;sharedtask;0.837
heb;sharedtask;0.837
hun;sharedtask;0.850
jpn;sharedtask;0.953
nav;sharedtask;0.556
rus;sharedtask;0.905
spa;sharedtask;0.938
swh;sharedtask;0.966
tur;sharedtask;0.950
arz;byt5_wfeat;0.716
eng;byt5_wfeat;0.974
fin;byt5_wfeat;0.880
fra;byt5_wfeat;0.813
kat;byt5_wfeat;0.886
deu;byt5_wfeat;0.881
heb;byt5_wfeat;0.884
hun;byt5_wfeat;0.791
jpn;byt5_wfeat;0.992
nav;byt5_wfeat;0.599
rus;byt5_wfeat;0.918
spa;byt5_wfeat;0.944
swh;byt5_wfeat;0.996
tur;byt5_wfeat;0.962
arz;byt5_nofeat;0.33
eng;byt5_nofeat;0.346
fin;byt5_nofeat;0.019
fra;byt5_nofeat;0.034
kat;byt5_nofeat;0.043
deu;byt5_nofeat;0.278
heb;byt5_nofeat;0.0372608258
hun;byt5_nofeat;0.014
jpn;byt5_nofeat;0.06
nav;byt5_nofeat;0.036
rus;byt5_nofeat;0.076
spa;byt5_nofeat;0.026
swh;byt5_nofeat;0.001
tur;byt5_nofeat;0.006
